Name,Brand,Price,Picture
Ball Pens – Blue,Octane,Rs 10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYcONhq2fPGMOo2PIRbPzFSk5uBEgLvTdVbw&s
Gel Pens – Black,Reynolds,Rs 20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRe4Ojj6YItuRYQdnse_AxbVwrGvO_J4Z2-Q&s
Notebooks – Ruled,Classmate,Rs 60,https://stationerydukan.com/wp-content/uploads/2023/03/Classmate-Notebook-8.jpg
Pencils,Apsara,Rs 5,https://rukminim2.flixcart.com/image/850/1000/xif0q/pencil/y/s/w/apsara-platinum-apsara-original-imaguqjcwsq3eyzf.jpeg?q=90&crop=false
Pencils,Nataraj,Rs 10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv2iW2OqAMytZGtCbB7NK4J9qgINJjSIJMYw&s
